weekday,Min,Max,Gemiddelde_fietsen,Gemiddelde_temp
Monday,500.0,556.0,526.0,5.54
Tuesday,501.0,513.0,507.0,6.55
Wednesday,,,,
Thursday,525.0,550.0,535.0,14.24
Friday,535.0,557.0,545.0,14.59
Saturday,522.0,560.0,537.0,13.99
Sunday,535.0,555.0,545.0,8.35
